OBJECTID *,Shape *,AIN,APN,AgencyClassNo,AgencyName,AgencyType,UseCode,UseCode_2,UseType,UseDescription,RecDate,RecDocNo,OwnerName,SpecialName,MailStreet,MailAddress,MailCity,MailZip,Roll_Year,Roll_LandValue,Roll_ImpValue,Roll_PersPropValue,Roll_FixtureValue,Roll_HomeOwnersExemp,Roll_LandBaseYear,Roll_ImpBaseYear,LastSaleDate,Assr_Map,Assr_Index_Map,APN,A_ComRedevAg,B_DWP,C_GSDSurplus,D_CAO_Interim,E_PublicWorks,F_Surplus_Consol,G_Nona,H_Wilmington,Shape_Length,Shape_Area
69,Polygon,6117023902,6117-023-902,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19780000,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,PO BOX 51111, PO BOX 51111,LOS ANGELES CA,90051-5700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6117-023,6117-NDX,6117023902,0,1,0,0,0,0,0,0,1584.941599,56622.08905
70,Polygon,6117019028,6117-019-028,<Null>,<Null>,<Null>,2620,26,Commercial,"Auto, Recreation EQPT, Construction EQPT, Sales & Service",20050324,674183,705 W EL SEGUNDO LLC,C/O NAHIDEH AKHAVANSADR,BEVERLY DR,280 S BEVERLY DR   STE 400,BEVERLY HILLS CA,90212-3912,2013,650869,28295,0,0,0,2005,2005,20050324,6117-019,6117-NDX,6117019028,0,0,0,0,0,0,1,0,537.521898,18547.10868
71,Polygon,6089009272,6089-009-272,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19760000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,115184,0,0,0,0,1978,1978,0,6089-009,6089-NDX,6089009272,0,1,0,0,0,0,0,0,780.395624,29860.74352
72,Polygon,6089016271,6089-016-271,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,46744,0,0,0,0,1978,1978,0,6089-016,6089-NDX,6089016271,0,1,0,0,0,0,0,0,480.069863,14110.03275
73,Polygon,6117024902,6117-024-902,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19780000,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,PO BOX 51111, PO BOX 51111,LOS ANGELES CA,90051-5700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6117-024,6117-NDX,6117024902,0,1,0,0,0,0,0,0,1626.260066,58707.23555
74,Polygon,6089017272,6089-017-272,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19760000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,92975,0,0,0,0,1978,1978,0,6089-017,6089-NDX,6089017272,0,1,0,0,0,0,0,0,750.893028,27346.76165
75,Polygon,6089024272,6089-024-272,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19760000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,115184,0,0,0,0,1978,1978,0,6089-024,6089-NDX,6089024272,0,1,0,0,0,0,0,0,779.87686,29746.79475
76,Polygon,6089022283,6089-022-283,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19760000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,402962,0,0,0,0,1978,1978,0,6089-022,6089-NDX,6089022283,0,1,0,0,0,0,0,0,1567.419046,90941.27039
77,Polygon,4261021008,4261-021-008,<Null>,<Null>,<Null>,100,1,Residential,Single,20090604,830271,317 DELAWARE LLC, ,SAINT KATHERINE DR,870 SAINT KATHERINE DR,LA CANADA CA,91011-4121,2013,1673198,0,0,0,0,2009,2009,20090604,4261-021,4261-NDX,4261021008,0,0,0,0,0,0,1,0,403.005588,8610.054813
78,Polygon,6119017900,6119-017-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,PO BOX 51111, PO BOX 51111,LOS ANGELES CA,90051-5700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6119-017,6119-NDX,6119017900,0,1,0,0,0,0,0,0,435.587441,10894.2473
79,Polygon,6090028270,6090-028-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,32115,0,0,0,0,1978,1978,0,6090-028,6090-NDX,6090028270,0,1,0,0,0,0,0,0,380.197503,7004.9564
80,Polygon,4259019900,4259-019-900,236920,L A  City Dept of Water & Power,LADWP,8809,88,Government,Government Parcel,19670245,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,4259-019,4259-NDX,4259019900,0,1,0,0,0,0,0,0,1213.133231,50212.31952
81,Polygon,7107002272,7107-002-272,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19760000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,91803,0,0,0,0,1978,1978,0,7107-002,7107-NDX,7107002272,0,1,0,0,0,0,0,0,1551.371818,57392.47096
82,Polygon,7107009271,7107-009-271,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,72475,0,0,0,0,1978,1978,0,7107-009,7107-NDX,7107009271,0,1,0,0,0,0,0,0,1455.136982,62332.84785
83,Polygon,7107001270,7107-001-270,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,183624,0,0,0,0,1978,1978,0,7107-001,7107-NDX,7107001270,0,1,0,0,0,0,0,0,2075.568441,90963.97494
84,Polygon,4262033903,4262-033-903,236000,L A City,LA City,8899,88,Government,Government Parcel,19760630,<Null>,L A CITY, ,GRANVILLE AVE,2027 GRANVILLE AVE,LOS ANGELES CA,900256103,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,4262-033,4262-NDX,4262033903,0,0,0,0,0,0,1,0,541.054677,10887.3229
85,Polygon,7107001271,7107-001-271,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,30372,0,0,0,0,1978,1978,0,7107-001,7107-NDX,7107001271,0,1,0,0,0,0,0,0,855.349144,32333.286
86,Polygon,6115039270,6115-039-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,309968,0,0,0,0,1978,1978,0,6115-039,6115-NDX,6115039270,0,1,0,0,0,0,0,0,2462.605217,113170.4311
87,Polygon,6079011270,6079-011-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,187106,0,0,0,0,1978,1978,0,6079-011,6079-NDX,6079011270,0,1,0,0,0,0,0,0,1281.344309,41984.767
88,Polygon,7336006903,7336-006-903,236920,L A  City Dept of Water & Power,LADWP,8100,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700505,<Null>,L A CITY DEPT OF WATER AND POWER,REAL ESTATE BUS GROUP-JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7336-006,7336-NDX,7336006903,0,1,0,0,0,0,0,0,2032.108832,77424.31284
89,Polygon,7425045023,7425-045-023,0,<Null>,<Null>,100V,10,Commercial,Commercial,20031002,2929139,"KIM,HOWARD W AND HIDY TRS", ,STEPHEN M WHITE DR,3721 STEPHEN M WHITE DR,SAN PEDRO CA,90731-7011,2013,428110,0,0,0,0,1990,2003,19890807,7425-045,7425-NDX,7425045023,0,0,0,0,0,0,0,1,407.11002,10807.62606
90,Polygon,7336006272,7336-006-272,236924,L A  City Dept of Water & Power,LADWP,300V,30,Industrial,Industrial,19750101,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,7481,0,0,0,0,1984,1984,0,7336-006,7336-NDX,7336006272,0,1,0,0,0,0,0,0,491.383546,7551.702444
91,Polygon,7425011805,7425-011-805,0,<Null>,<Null>,300V,30,Industrial,Industrial,19650914,<Null>,SOU PAC CO, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7425-011,7425-NDX,7425011805,0,0,0,0,0,0,0,1,995.202408,41781.45013
92,Polygon,7078001274,7078-001-274,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19750224,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,39541,0,0,0,0,1978,1978,0,7078-001,7078-NDX,7078001274,0,1,0,0,0,0,0,0,6082.31263,306294.9801
93,Polygon,7075002274,7075-002-274,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19740920,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,2295,0,0,0,0,1978,1978,0,7075-002,7075-NDX,7075002274,0,1,0,0,0,0,0,0,949.924982,280.54775
94,Polygon,7075002271,7075-002-271,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19690218,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,28552,0,0,0,0,1978,1978,0,7075-002,7075-NDX,7075002271,0,1,0,0,0,0,0,0,2887.89722,133333.1696
95,Polygon,7315036272,7315-036-272,236924,L A  City Dept of Water & Power,LADWP,300V,30,Industrial,Industrial,19790803,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,301789,0,0,0,0,1975,1975,0,7315-036,7315-NDX,7315036272,0,1,0,0,0,0,0,0,1363.731452,83368.32375
96,Polygon,7315034271,7315-034-271,236924,L A  City Dept of Water & Power,LADWP,880V,88,Government,Government Parcel,19750101,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,204784,0,0,0,0,1982,1982,0,7315-034,7315-NDX,7315034271,0,1,0,0,0,0,0,0,2573.960674,154635.3935
97,Polygon,7332016272,7332-016-272,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19810206,143304,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,231946,0,0,0,0,1981,1981,0,7332-016,7332-NDX,7332016272,0,1,0,0,0,0,0,0,2535.131213,178008.1558
98,Polygon,7332004272,7332-004-272,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,150448,0,0,0,0,1978,1978,0,7332-004,7332-NDX,7332004272,0,1,0,0,0,0,0,0,2341.470349,160168.9065
99,Polygon,7315037271,7315-037-271,236924,L A  City Dept of Water & Power,LADWP,300V,30,Industrial,Industrial,19790803,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,633961,0,0,0,0,1975,1975,0,7315-037,7315-NDX,7315037271,0,1,0,0,0,0,0,0,2253.993621,154749.5784
100,Polygon,7337005273,7337-005-273,236924,L A  City Dept of Water & Power,LADWP,8100,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19740000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,70729,0,0,0,0,1978,1988,0,7337-005,7337-NDX,7337005273,0,1,0,0,0,0,0,0,1030.860548,48516.56743
101,Polygon,7332004271,7332-004-271,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,26647,0,0,0,0,1978,1978,0,7332-004,7332-NDX,7332004271,0,1,0,0,0,0,0,0,677.340475,28560.80266
102,Polygon,7336006273,7336-006-273,236924,L A  City Dept of Water & Power,LADWP,300V,30,Industrial,Industrial,19750101,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,30974,0,0,0,0,1984,1984,0,7336-006,7336-NDX,7336006273,0,1,0,0,0,0,0,0,848.322715,32080.60566
103,Polygon,7315036271,7315-036-271,236924,L A  City Dept of Water & Power,LADWP,300V,30,Industrial,Industrial,19790803,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,311320,0,0,0,0,1975,1975,0,7315-036,7315-NDX,7315036271,0,1,0,0,0,0,0,0,1382.932252,84910.72226
104,Polygon,6089023282,6089-023-282,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19760000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,377799,0,0,0,0,1978,1978,0,6089-023,6089-NDX,6089023282,0,1,0,0,0,0,0,0,1503.907506,86658.02512
105,Polygon,6089021270,6089-021-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,36203,0,0,0,0,1978,1978,0,6089-021,6089-NDX,6089021270,0,1,0,0,0,0,0,0,417.834462,10039.21372
106,Polygon,6089016270,6089-016-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,46174,0,0,0,0,1978,1978,0,6089-016,6089-NDX,6089016270,0,1,0,0,0,0,0,0,460.075268,13162.8542
107,Polygon,4131025277,4131-025-277,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19571031,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,1169331,0,0,0,0,1979,1979,0,4131-025,4131-NDX,4131025277,0,1,0,0,0,0,0,0,7597.829514,864523.4982
108,Polygon,6089029270,6089-029-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,36203,0,0,0,0,1978,1978,0,6089-029,6089-NDX,6089029270,0,1,0,0,0,0,0,0,417.590731,10028.75602
109,Polygon,6089028272,6089-028-272,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19760000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,73650,0,0,0,0,1978,1978,0,6089-028,6089-NDX,6089028272,0,1,0,0,0,0,0,0,697.165579,20484.44667
110,Polygon,7404004273,7404-004-273,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19750101,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,148088,0,0,0,0,1985,1985,0,7404-004,7404-NDX,7404004273,0,1,0,0,0,0,0,0,1205.33691,70738.30808
111,Polygon,6120028901,6120-028-901,236920,L A  City Dept of Water & Power,LADWP,880V,88,Government,Government Parcel,19750101,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6120-028,6120-NDX,6120028901,0,1,0,0,0,0,0,0,1514.317923,61399.70937
112,Polygon,6119012900,6119-012-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6119-012,6119-NDX,6119012900,0,1,0,0,0,0,0,0,2073.178723,93216.44
113,Polygon,7404001278,7404-001-278,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19760000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,159063,0,0,0,0,1978,1978,0,7404-001,7404-NDX,7404001278,0,1,0,0,0,0,0,0,766.767807,36794.62569
114,Polygon,7404003278,7404-003-278,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19760000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,168420,0,0,0,0,1978,1978,0,7404-003,7404-NDX,7404003278,0,1,0,0,0,0,0,0,793.977485,38539.40341
115,Polygon,6120021900,6120-021-900,236009,L A City S by S,LA City,8800,88,Government,Government Parcel,19670406,<Null>,L A CITY S BY S, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6120-021,6120-NDX,6120021900,0,0,0,1,0,1,0,0,368.905051,5677.02534
116,Polygon,6119006900,6119-006-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6119-006,6119-NDX,6119006900,0,1,0,0,0,0,0,0,1617.215229,70855.30905
117,Polygon,6089029271,6089-029-271,236924,L A  City Dept of Water & Power,LADWP,880V,88,Government,Government Parcel,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,70158,0,0,0,0,1978,1978,0,6089-029,6089-NDX,6089029271,0,1,0,0,0,0,0,0,404.037425,9361.489742
118,Polygon,6120029900,6120-029-900,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19590608,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,PO BOX 51111, PO BOX 51111,LOS ANGELES CA,90051-5700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6120-029,6120-NDX,6120029900,0,1,0,0,0,0,0,0,1606.375258,77178.68027
119,Polygon,7423026900,7423-026-900,236009,L A City S by S,LA City,8899,88,Government,Government Parcel,19471020,<Null>,L A CITY S BY S, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7423-026,7423-NDX,7423026900,0,0,0,1,0,1,0,0,1189.882006,59179.34485
120,Polygon,7418007004,7418-007-004,0,<Null>,<Null>,100V,10,Commercial,Commercial,20101208,1813943,"PAREDES,DAVID A",C/O ELVIA L SARAVIA,DINSDALE ST,8049 DINSDALE ST,DOWNEY CA,90240-3813,2013,92595,0,0,0,0,2011,2011,20101208,7418-007,7418-NDX,7418007004,0,0,0,0,0,0,0,2,310.155446,4670.6754
121,Polygon,7418004014,7418-004-014,0,<Null>,<Null>,300V,30,Industrial,Industrial,19940916,1708629,"GAFNEY,ELEANOR G TR", ,BERNARDO DR,18755 W BERNARDO DR   NO  1325,SAN DIEGO CA,92127-3026,2013,5748,0,0,0,0,1975,1975,19680903,7418-004,7418-NDX,7418004014,0,0,0,0,0,0,0,1,551.53509,18511.92455
122,Polygon,7418006900,7418-006-900,236000,L A City,LA City,100,1,Residential,Single,19741011,<Null>,L A CITY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7418-006,7418-NDX,7418006900,0,0,0,1,0,1,0,1,342.306782,4722.708193
123,Polygon,7418012001,7418-012-001,0,<Null>,<Null>,100V,10,Commercial,Commercial,19990819,1562219,"DUBIN,CELIA C EST OF",HARRY DUBIN,PO BOX 475, PO BOX 475,WOODLAND HILLS CA,91365-0475,2013,34455,0,0,0,0,1993,1993,19920923,7418-012,7418-NDX,7418012001,0,0,0,0,0,0,0,1,187.223057,1763.527372
124,Polygon,7418013900,7418-013-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19740614,<Null>,L A CITY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7418-013,7418-NDX,7418013900,0,0,1,0,0,0,0,0,141.131245,467.149057
125,Polygon,7418023025,7418-023-025,0,<Null>,<Null>,100V,10,Commercial,Commercial,20101027,1536973,COBBER LLC, ,MONTEREY BLVD,414 MONTEREY BLVD,HERMOSA BEACH CA,90254-4537,2013,267382,0,0,0,0,2011,2011,20101027,7418-023,7418-NDX,7418023025,0,0,0,0,0,0,1,0,504.031597,16044.24255
126,Polygon,7418025900,7418-025-900,236900,Community Redevelopment Agency of L A City,LA City,330V,33,Industrial,"Warehousing, Distribution, Storage",19790919,<Null>,COMMUNITY REDEVELOPMENT AGENCY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7418-025,7418-NDX,7418025900,1,0,0,0,0,0,0,0,145.332636,430.529251
127,Polygon,7412024902,7412-024-902,236000,L A City,LA City,8800,88,Government,Government Parcel,19741009,<Null>,L A CITY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7412-024,7412-NDX,7412024902,0,0,0,1,0,1,0,0,585.154937,9995.386459
128,Polygon,7416001900,7416-001-900,236000,L A City,LA City,8812,88,Government,Government Parcel,19751023,<Null>,L A CITY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7416-001,7416-NDX,7416001900,0,0,1,0,0,0,0,0,210.335212,405.994713
129,Polygon,7410002083,7410-002-083,<Null>,<Null>,<Null>,100,1,Residential,Single,20040406,814895,"BRANSON,MARK AND", ,LOMITA BLVD,1514 LOMITA BLVD,HARBOR CITY CA,90710-2026,2013,325600,81800,0,0,7000,2004,2004,20040406,7410-002,7410-NDX,7410002083,0,0,0,0,0,0,1,0,380.952814,7135.1957
130,Polygon,7418037001,7418-037-001,0,<Null>,<Null>,830V,83,Miscellaneous,Petroleum & Gas,19900910,1554736,"RODRIGUEZ,ANTONIO AND ELVIRA", ,NW 23RD ST,13073 NW 23RD ST,PEMBROKE PINES FL,33028-2549,2013,37338,0,0,0,0,1990,1990,19891201,7418-037,7418-NDX,7418037001,0,0,0,0,0,0,1,0,604.234156,21862.6313
131,Polygon,7424005901,7424-005-901,236000,L A City,LA City,8800,88,Government,Government Parcel,19740510,<Null>,L A CITY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7424-005,7424-NDX,7424005901,0,0,1,0,0,0,0,0,402.431718,7162.5943
132,Polygon,7424013900,7424-013-900,236900,Community Redevelopment Agency of L A City,LA City,300V,30,Industrial,Industrial,19790913,<Null>,COMMUNITY REDEVELOPMENT AGENCY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7424-013,7424-NDX,7424013900,1,0,0,0,0,0,0,0,111.667748,325.26335
133,Polygon,7424012900,7424-012-900,236900,Community Redevelopment Agency of L A City,LA City,300V,30,Industrial,Industrial,19790913,<Null>,COMMUNITY REDEVELOPMENT AGENCY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7424-012,7424-NDX,7424012900,1,0,0,0,0,0,0,0,152.172025,524.535709
134,Polygon,7424012901,7424-012-901,236900,Community Redevelopment Agency of L A City,LA City,300V,30,Industrial,Industrial,19840501,<Null>,COMMUNITY REDEVELOPMENT AGENCY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7424-012,7424-NDX,7424012901,1,0,0,0,0,0,0,0,36.000421,44.9566
135,Polygon,7424014900,7424-014-900,236900,Community Redevelopment Agency of L A City,LA City,300X,30,Industrial,Industrial,20061106,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,SPRING ST,354 S SPRING ST   700,LOS ANGELES CA,90013-1239,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20000526,7424-014,7424-NDX,7424014900,1,0,0,0,0,0,0,0,360.002006,3874.369451
136,Polygon,7424014907,7424-014-907,236000,L A City,LA City,300X,30,Industrial,Industrial,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20050907,7424-014,7424-NDX,7424014907,1,0,0,0,0,0,0,0,298.031087,3571.091998
