APN,Registered Date,Property Type,Property Address,Zip Code,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Mgmt Contact Phone
2647013028,01/06/2015,Single Family,"14650 W LASSEN ST
",91402,6,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2784008036,01/06/2015,Single Family,"18915 W CHASE ST
",91324,12,Nationstar Mortgage,Dawn Campos,888-456-0714,"NEW BEGINNING PROPERTIES, INC",JOSE CHAVEZ,445  W 34th ST  San Bernardino CA 92405,877-339-8202
2647019009,01/06/2015,Single Family,"14181 W CLARETTA ST
",91331,6,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
4492029001,01/06/2015,Single Family,"2621 N MANDEVILLE CANYON RD
",90049,11,Nationstar Mortgage,Dawn Campos,888-456-0714,"NEW BEGINNING PROPERTIES, INC",JOSE CHAVEZ,445  W 34th ST  San Bernardino CA 92405,877-339-8202
6037001012,01/06/2015,Single Family,"1651 W 87TH ST
",90047,8,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
5429023012,01/06/2015,Multi-Family,"1659 1 2 N GOLDEN GATE AVE
",90026,13,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
5024028009,01/06/2015,Single Family,"3318 W MARTIN LUTHER KING
",90008,10,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2409013039,01/06/2015,Single Family,"10721 W KESWICK ST
",91352,2,Specialized Loan Servicing as Servicing Agent for Beneficiary,Hunter Robinson,877-367-0512,Eddy Leon,Eddy Leon,1650   Ximeno AVE 90804 Long Beach CA 90804,866-627-2256
6055002024,01/06/2015,Single Family,"9437 S LA SALLE AVE
",90047,8,U.S. Bank NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
2763032024,01/06/2015,Single Family,"9537 N YOLANDA AVE
",91324,12,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2375019050,01/06/2015,Single Family,"13035 W VALLEYHEART DR
",91604,2,Bank of America,Chad McLean,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
6054024022,01/06/2015,Multi-Family,"543 W 99TH ST
",90044,8,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
5304015008,01/06/2015,Single Family,"759 E MONTECITO DR
",90031,1,Specialized Loan Servicing as Servicing Agent for Beneficiary,Hunter Robinson,877-367-0512,Eddy Leon,Eddy Leon,1650   Ximeno AVE 90804 Long Beach CA 90804,866-627-2256
2504006042,01/06/2015,Single Family,"14344 W FOOTHILL BLVD
",91342,7,Logix Federal Credit Union,Tracy Duck,847-550-7771,SR Maintenance & Management Services Inc,Alex Montiel,9625   Stewart and Gray RD  Downey CA 90241,562-303-5050
2639023004,01/06/2015,Single Family,"8846 N MOONBEAM AVE
",91402,6,"BSI Financial Services, Inc.",John Turner,240-482-2348,Boardwalk Properties,Mike Potier,3948   Atlantic AVE  Long Beach CA 90807,562-424-0333
2611035018,01/06/2015,Single Family,"11818 N EDGECLIFF AVE
",91342,7,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Asset Services c/o Junior and Third Inc,Ed Hurley,13743   Bear VLY  Moorpark CA 93021,805-732-6596
2533028029,01/06/2015,Single Family,"12906 W LOUVRE ST
",91331,7,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
6074002021,01/06/2015,Single Family,"154 W 104TH ST
",90003,8,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,999  W Marshall BCH  San Bernardino CA 92405,909-289-1453
5534006005,01/06/2015,Single Family,"6229 W BANNER AVE
",90038,13,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
5063007085,01/06/2015,Single Family,"2329 S HAUSER AVE
",90016,10,U.S. Bank NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
2505004017,01/06/2015,Single Family,"14816 W RYAN ST
",91342,7,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2505006001,01/06/2015,Single Family,"14707 W REX ST
",91342,7,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2512007024,01/06/2015,Single Family,"13150 W TARQUIN ST
",91342,7,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,281-404-7816
6119005020,01/06/2015,Single Family,"13518 S MENLO AVE
",90247,15,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
5037016019,01/06/2015,Single Family,"1129 W 39TH ST
",90037,8,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
6088017009,01/06/2015,Single Family,"616 W 117TH ST
",90044,15,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2260006023,01/06/2015,Single Family,"4981 N NOELINE AVE
",91436,5,Nationstar Mortgage,Dawn Campos,888-456-0714,"NEW BEGINNING PROPERTIES, INC",JOSE CHAVEZ,445  W 34th ST  San Bernardino CA 92405,877-339-8202
6057001006,01/06/2015,Single Family,"9300 S VAN NESS AVE
",90047,8,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
5031015013,01/06/2015,Single Family,"4300 W DON ARELLANES DR
",90008,8,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
5047010008,01/06/2015,Single Family,"3432 S COCHRAN AVE
",90016,10,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
6014025015,01/06/2015,Single Family,"1300 W 69TH ST
",90044,8,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2014012009,01/07/2015,Single Family,"7901 N FALLBROOK AVE
",91304,12,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,PPS,Trevethan Aaron,30011   Ivy Glenn DR 224 Laguna Niguel CA 92677,949-612-0342
5074007012,01/07/2015,Multi-Family,"1519 S ARDMORE AVE
",90006,10,Selene Finance,Amy West,713-587-9723,Bron Inc,Eric Moore,41707   Winchester RD 201 Temecula CA 92590,951-970-3899
2156029091,01/07/2015,Single Family,"18620 HATTERAS
",91356,3,Shellpoint Mortgage Services,Johan Correa,866-825-2174,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
2542021026,01/07/2015,Non-Residential,"09710 HELEN AVE
",91040,7,Wells Fargo Bank c/o Select Portfolio Servicing,NA NA,888-349-8694,Safeguard Properties,Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
2278005004,01/07/2015,Single Family,"15036 W MARBLE DR
",91403,4,Select Portfolio Servicing,Code Violations,888-349-8964,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
2380002028,01/07/2015,Single Family,"7759 W SKYHILL DR
",90068,4,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
6011004053,01/07/2015,Multi-Family,"125 E 69TH ST
",90003,9,U.S. Bank NA C/O Select Portfolio Servicing,na NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
4238010027,01/07/2015,Multi-Family,"227 E HORIZON AVE
",90291,11,U.S. Bank National Association c/o Select Portfolio Servicing,NA NA,888-349-8694,Safeguard Properties,Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
2684013033,01/07/2015,Single Family,"10403 N GERALD AVE
",91344,12,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
6083008045,01/07/2015,Multi-Family,"363 1 2 E 116TH PL
",90061,15,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2762015032,01/07/2015,Single Family,"9115 N WYSTONE AVE
",91324,12,Bank of New York Mellon c/o Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Safeguard Properties,Safeguard Properties,7887   Safeguard   Valley View OH 44125,877-340-0060
5205012157,01/07/2015,Single Family,"360 W AVENUE
",90031,1,SETERUS INC,Preservation Compliance,866-570-5277,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
2822008004,01/07/2015,Single Family,"11824 N PORTER VALLEY DR
",91326,12,Specialized Loan Servicing as Servicing Agent for Beneficiary,Hunter Robinson,877-367-0512,Eddy Leon,Eddy Leon,1650   Ximeno AVE 90804 Long Beach CA 90804,866-627-2256
2322017020,01/07/2015,Multi-Family,"11840 1 2 W HAMLIN ST
",91606,2,East-West Bank,Lois Shivers-Wynn,626-371-8829,Five Brothers Mortgage Services,Christina  Atkins,14156  E Eleven Mile Rd  Warren MI 48089,586-772-7600
2366012005,01/07/2015,Multi-Family,"4276 N TUJUNGA AVE
",91602,2,Selene Finance,Amy West,713-587-9723,Bron Inc,Eric Moore,41707   Winchester RD 201 Temecula CA 92590,951-970-3899
6005006028,01/07/2015,Single Family,"5904 S OLIVE ST
",90003,9,The Bank of New York Mellon C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
2174026020,01/07/2015,Single Family,"4401 N WINNETKA AVE
",91364,3,Wells Fargo Bank C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
6014016017,01/07/2015,Single Family,"1313 W 67TH ST
",90044,8,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
5055026007,01/07/2015,Single Family,"2661 S MAGNOLIA AVE
",90007,9,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2872014015,01/07/2015,Single Family,"18879 W BRASILIA DR
",91326,12,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
5043023013,01/07/2015,Single Family,"2336 W HOMESIDE AVE
",90016,10,Deutsche Bank National Trust  C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
4302025006,01/07/2015,Single Family,"1924 S SHERBOURNE DR
",90034,10,Deutsche Bank National Trust  C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
5577033004,01/07/2015,Single Family,"6423 W DEEP DELL PL
",90068,4,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,999  W Marshall BCH  San Bernardino CA 92405,909-289-1453
2289014009,01/07/2015,Non-Residential,"04507 BALBOA AVE
",91316,5,U.S. Bank National Association c/o Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Safeguard Properties,Safeguard Properties,7887   Safeguard   Valley View OH 44125,877-340-0060
2287008019,01/07/2015,Single Family,"3615 N HAYVENHURST AVE
",91436,5,U.S. Bank National Association c/o Select Portfolio Servicing,NA NA,888-349-8694,Safeguard Properties,Safeguard Properties,7887   Safeguard   Valley View CA 44125,877-340-0060
2653002045,01/07/2015,Single Family,"8738 N TOBIAS AVE
",91402,6,Bank of America,VPR Department,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
5517012011,01/07/2015,Single Family,"152 S SERRANO AVE
",90004,10,RoundPoint,Ebony Jackson,704-426-8874,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
2618004002,01/07/2015,Non-Residential,"10773 HADDON AVE
",91331,7,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
2560023001,01/07/2015,Single Family,"8406 W APPERSON ST
",91040,7,U.S. Bank National Association c/o Select Portfolio Servicing,NA NA,888-349-8694,Safeguard Properties,Safeguard Properties,7887   Safeguard   Valley View CA 44125,877-340-0060
2761026025,01/07/2015,Single Family,"9632 N QUAKERTOWN AVE
",91311,12,Bank of New York Mellon c/o Select Portfolio Servicing,NA NA,888-349-8694,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
5002014004,01/07/2015,Single Family,"5733 S BUDLONG AVE
",90037,9,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
4242009005,01/07/2015,Single Family,"1101 E SUPERBA AVE
",90291,11,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2532010068,01/07/2015,Single Family,"12345 W STONEGATE RD
",91331,7,"Wilmington Trust, NA c/o Select Portfolio Servicing",Select Portfolio Servicing,888-349-9864,Safeguard Properties,Safeguard Properties,7887   Safeguard   Valley View OH 44125,877-340-0060
5017014024,01/07/2015,Single Family,"4613 S BUDLONG AVE
",90037,9,SETERUS INC,Preservation Compliance,866-570-5277,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
4261036015,01/07/2015,Single Family,"2014 S COLBY AVE
",90025,11,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
4226023004,01/07/2015,Multi-Family,"3011 S OCEAN FRONT WALK
",90291,11,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2552026011,01/07/2015,Single Family,"10913 N TUJUNGA CANYON BLVD
",91042,7,U.S. Bank NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
6019014024,01/07/2015,Single Family,"1157 W 76TH ST
",90044,8,American Financial Resources c/o LoanCare LLC,Tara Williams,757-452-5240,REO Allegiance,Lisa Sadaoui,5716   Corsa AVE 110 Westlake Village CA 91362,888-727-6303
2645016009,01/07/2015,Single Family,"9897 N ARLETA AVE
",91331,6,U.S. Bank National Association c/o Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Safeguard Properties,Safeguard Properties,7887   Safeguard   Valley View OH 44125,877-340-0060
2639021042,01/07/2015,Single Family,"9076 N SYLMAR AVE
",91402,6,Selene Finance,Amy West,713-587-9723,Bron Inc,Eric Moore,41707   Winchester RD 201 Temecula CA 92590,951-970-3899
2785013055,01/07/2015,Single Family,"18803 W COMMUNITY ST
",91324,12,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
5080017027,01/07/2015,Single Family,"1036 S SERRANO AVE
",90006,10,NationStar,Paula Acosta,972-315-8837,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
5585028017,01/07/2015,Single Family,"6190 W TEMPLE HILL DR
",90068,4,HSBC Bank USA C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
2671022009,01/07/2015,Single Family,"16117 W NORDHOFF ST
",91343,12,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2672014001,01/07/2015,Single Family,"15915 W BAHAMA ST
",91343,12,U.S. Bank NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
4415021001,01/07/2015,Single Family,"17051 W PACIFIC COAST HWY
",90272,11,Wells Fargo Bank c/o Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Safeguard Properties,Safeguard Properties,7887   Safeguard   Valley View OH 44125,877-340-0060
2315018038,01/07/2015,Single Family,"11050 W COHASSET ST
",91352,2,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
5473014005,01/07/2015,Single Family,"4188 N YORK BLVD
",90065,14,U.S. Bank National Association c/o Select Portfolio Servicing,NA NA,888-349-8694,Safeguard Properties,Safeguard Properties,7887   Safeguard   Valley View CA 44125,877-340-0060
2509020126,01/07/2015,Single Family,"13145 BROMONT AVE
",91342,7,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
5106020002,01/07/2015,Multi-Family,"4859 1 2 S LONG BEACH AVE
",90011,9,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
5524007008,01/07/2015,Multi-Family,"823 N JUNE ST
",90038,4,Wilmington Trust C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
4316023017,01/07/2015,Single Family,"3367 S BARBYDELL DR
",90064,5,Selene Finance,Amy West,713-587-9723,Bron Inc,Eric Moore,41707   Winchester RD 201 Temecula CA 92590,951-970-3899
5507018037,01/07/2015,Single Family,"4925 W WILSHIRE BLVD
",90010,4,SETERUS INC,Preservation Compliance,866-570-5277,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
2717024065,01/07/2015,Single Family,"18814 W BERMUDA ST
",91326,12,U.S. Bank National Association c/o Select Portfolio Servicing,Select Portfolio Servicing,888-349-9864,Safeguard Properties,Safeguard Properties,7887   Safeguard   Valley View OH 44125,877-340-0060
2549004012,01/07/2015,Single Family,"9661 W WENTWORTH ST
",91040,7,Deutsche Bank National Trust  C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
2701043004,01/07/2015,Single Family,"20245 W VIA
",91326,12,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
6057004009,01/07/2015,Single Family,"1911 W 94TH ST
",90047,8,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
7410028083,01/07/2015,Single Family,"25604 S BELLE PORTE AVE
",90710,15,The Bank of New York Mellon C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
2175019033,01/07/2015,Single Family,"4801 N NOMAD DR
",91364,3,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2104002034,01/07/2015,Single Family,"8119 N VANALDEN AVE
",91335,3,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,999  W Marshall BCH  San Bernardino CA 92405,909-289-1453
5109013008,01/07/2015,Multi-Family,"4433 S TOWNE AVE
",90011,9,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
4008006004,01/07/2015,Single Family,"6634 S 6TH AVE
",90043,8,Pennymac Loan Services,Joshua Herrera,937-910-1200,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
2637006023,01/07/2015,Single Family,"13661 W OTTOMAN ST
",91331,6,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2028024014,01/07/2015,Single Family,"7101 N HELMSDALE ROAD
",91307,12,Deutsche Bank c/o Select Portfolio Servicing,Select Portfolio Servicing,888-349-9864,Safeguard Properties,Safeguard Properties,7887   Safeguard   Valley View OH 44125,877-340-0060
6003028027,01/07/2015,Single Family,"1257 W GAGE AVE
",90044,8,Cenlar FSB,ATHENA SANTOS,720-945-5431,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
5120007015,01/07/2015,Multi-Family,"173 E 35TH ST
",90011,9,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2290026020,01/07/2015,Single Family,"4625 N LOUISE AVE
",91316,5,Wells Fargo Bank c/o Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Safeguard Properties,Safeguard Properties,7887   Safeguard   Valley View OH 44125,877-340-0060
2613005051,01/07/2015,Single Family,"11330 N ACALA AVE
",91340,7,Specialized Loan Servicing as Servicing Agent for Beneficiary,Hunter Robinson,877-367-0512,Eddy Leon,Eddy Leon,1650   Ximeno AVE 90804 Long Beach CA 90804,866-627-2256
2666025005,01/07/2015,Single Family,"11232 N GLORIA AVE
",91344,12,Wells Fargo Bank c/o Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Safeguard Properties,Safeguard Properties,7887   Safeguard   Valley View OH 44125,877-340-0060
2601018063,01/07/2015,Single Family,"17955 W RIDGEWAY ROAD
",91344,12,Bank of New York Mellon c/o Select Portfolio Servicing,Select Portfolio Servicing,888-349-9864,Safeguard Properties,Safeguard Properties,7887   Safeguard   Valley View OH 44125,877-340-0060
6067023034,01/07/2015,Non-Residential,"01981 SANTA
",90059,15,U.S. Bank NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
5024028005,01/07/2015,Single Family,"3338 W MARTIN LUTHER KING
",90008,10,Nationstar Mortgage,Dawn Campos,888-456-0714,"NEW BEGINNING PROPERTIES, INC",JOSE CHAVEZ,445  W 34th ST  San Bernardino CA 92405,877-339-8202
5186022012,01/07/2015,Single Family,"736 S FRESNO ST
",90023,14,U.S. Bank NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
6019020018,01/07/2015,Single Family,"1027 W 74TH ST
",90044,8,U.S. Bank National Association c/o Select Portfolio Servicing,NA NA,888-349-8694,Safeguard Properties,Safeguard Safeguard,7887   Safeguard   Valley View CA 44125,877-340-0060
6041025012,01/07/2015,Single Family,"8917 S METTLER ST
",90003,9,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
7410003092,01/07/2015,Single Family,"1423 W 252ND ST
",90710,15,Select Portfolio Servicing,Code Violations,888-349-8964,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
2623025022,01/07/2015,Single Family,"12791 W SUNBURST ST
",91331,7,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,999  W Marshall BCH  San Bernardino CA 92405,909-289-1453
2609008017,01/07/2015,Single Family,"11942 N MALLOT PL
",91344,12,RoundPoint,Ebony Jackson,704-426-8874,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
2676024003,01/07/2015,Single Family,"16342 W TUPPER ST
",91343,12,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2556021019,01/07/2015,Single Family,"10635 N NASSAU AVE
",91040,7,U.S. Bank NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
2639034001,01/07/2015,Single Family,"8837 N COSTELLO AVE
",91402,6,Bank of America,VPR Department,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
5094016015,01/07/2015,Multi-Family,"821 S KENMORE AVE
",90005,10,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,999  W Marshall BCH  San Bernardino CA 92405,909-289-1453
6029015026,01/07/2015,Single Family,"718 E 82ND ST
",90001,9,U.S. Bank NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
4242032010,01/07/2015,Single Family,"2326 S GLYNDON AVE
",90291,11,Deutsche Bank National Trust c/o Select Portfolio Servicing,NA NA,888-349-8694,Safeguard Properties,Safeguard Properties,7887   Safeguard   Valley View CA 44125,877-340-0060
2333010055,01/07/2015,Single Family,"6115 N WILKINSON AVE
",91606,2,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2785011045,01/07/2015,Single Family,"8521 N GEYSER AVE
",91324,12,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
