row,Park Property,Sub-Park Name,Address,City,Zip,Rgn.,CD 1,CD 2,CD 3,Acreage,Sub Acreage,Board Report #,Acquisition Date,Thomas Guide,Former/Alternate Name,A.P.N.,Comments,Part ofÃ‰,compiled_address,compiled_lat,compiled_lng
134,EAST LOS ANGELES (ELA) PARK,,3160 E. MINNESOTA ST.,,,M,1,,,0.32,,,,595-B1,,,,,"3160 E Minnesota St, Indianapolis, IN 46203, USA",39.7455349,-86.108695
135,EAST WILMINGTON GREENBELT COMMUNITY CENTER,,918 N. SANFORD AVE.,,,P,15,,,0.85,,,,794-G6,,,,,"918 N Sanford Rd, Afton, NY 13730, USA",42.1551635,-75.4526456
136,EAST WILMINGTON VEST-POCKET PARK,,"1300 E. ""O"" ST.",,,P,15,,,0.13,,,,794-G4,,,,,"1300 E O St, Lincoln, NE 68508, USA",40.8136301,-96.702581
137,ECHO PARK,,751 N. ECHO PARK BLVD.,,,M,13,,,28.41,,,,634-E1,,,,,"751 Echo Park Ave, Los Angeles, CA 90026, USA",34.0733229,-118.2599956
138,ECHO PARK (DEEP) POOL,,1419 W. COLTON ST.,,,M,1,,,2.07,,,,634-E2,,,,,"1419 W Colton Ave, Redlands, CA 92374, USA",34.0628743,-117.2055324
139,EDDLESTON PARK,,11820 N. RESEDA BLVD.,,,V,12,,,6.31,,,,480-J7,,,,,"11820 Reseda Blvd, Porter Ranch, CA 91326, USA",34.2870201,-118.5368551
140,EL DORADO AVENUE PARK,,11349 N. EL DORADO AVE.,,,V,7,,,1.18,,,,502-B1,,,,,"11349 El Dorado Ave, San Fernando, CA 91340, USA",34.276275,-118.435826
141,EL ESCORPION PARK,,6801 N. SUNSET RIDGE CT.,,,V,12,,,61.29,,,,529-C5,,,,,"6801 Sunset Ridge Ct, West Hills, CA 91307, USA",34.1963699,-118.6589848
142,EL PASEO DE CAHUENGA PARK,,3300 N. CAHUENGA BLVD.,,,V,4,,,1.29,,,,563-C7,,,,,"3300 N Cahuenga Blvd, Los Angeles, CA 90068, USA",34.114573,-118.3358341
143,EL PUEBLO DE  LOS ANGELES  HISTORIC MONUMENT,,845 N. ALAMEDA ST.,,,M,14,,,2.03,,,,634-G3,,,,,"845 N Alameda St, Los Angeles, CA 90012, USA",34.0574412,-118.2376558
144,* Sub-Park (El Pueblo de LA His Mon),LOS ANGELES PLAZA PARK,125 E. PASEO DE LA PLAZA,,,M,14,,,,0.8,,,634-G3,,,,,"Los Angeles Plaza Park, 125 Paseo De La Plaza, Los Angeles, CA 90012, USA",34.0568584,-118.2381498
145,EL SERENO ARROYO PLAYGROUND,,CONCORD AVE & LOWELL AVE.,,,M,14,,,0.82,,,1/23/12,595-G7,,,,,"Concord Ave & Lowell Ave, Los Angeles, CA 90032, USA",34.0797026,-118.1623681
146,EL SERENO COMMUNITY GARDEN,,5450 E. HUNTINGTON DR.,,,M,14,,,0.77,,,,595-G5,,,,,"5450 Huntington Dr, Irwindale, CA 91010, USA",34.1347213,-117.9397744
147,EL SERENO NORTH PARK,,4410 N. GARDEN HOMES AVE.,,,M,14,,,3.08,,,,595-F4,,,,,"4410 SW Garden Home Rd, Portland, OR 97219, USA",45.4658187,-122.7223822
148,EL SERENO RECREATION CENTER,,4721 E. KLAMATH ST.,,,M,14,,,13.94,,,,595-E7,,,,,"4721 Klamath St, Los Angeles, CA 90032, USA",34.0758576,-118.1817955
149,EL SERENO SENIOR CITIZEN CENTER,,4818 E. KLAMATH PLACE,,,M,14,,,0.91,,,,595-E7,,,,,"4818 Klamath Pl, Los Angeles, CA 90032, USA",34.0748633,-118.179426
150,ELYSIAN PARK,,929 W. ACADEMY RD.,,,M,1,,,544.71,,,,594-F7,,,,,"929 W Academy Rd, Middleburg, PA 17842, USA",40.7605487,-76.9565089
151,* Sub-Park (Elysian Park),ELYSIAN PARK - RIVERSIDE EXPANSION,1800 W. RIVERSIDE DR.,,,M,13,,,,18.34,,,594-F7,,,,,"1800 W Riverside Dr, Ionia, MI 48846, USA",42.9522977,-85.1540971
152,ELYSIAN VALLEY RECREATION CENTER,,1811 W. RIPPLE ST.,,,M,13,,,1.99,,,,594-F4,,,,,"1811 W Ripple Ave, Oshkosh, WI 54902, USA",43.9665027,-88.5679941
153,ENCINO PARK,,16953 W. VENTURA BLVD,,,V,5,,,5.27,,,,561-D3,,,,,"16953 Ventura Blvd, Encino, CA 91316, USA",34.1597113,-118.5026246
154,* Sub-Park (Encino Park ),ENCINO COMMUNITY CENTER,4935 N. BALBOA BLVD.,,,V,5,,,,0.93,,,561-D3,,,,,"4935 Balboa Blvd, Encino, CA 91316, USA",34.1602917,-118.5014016
155,* Sub-Park (Encino Park ),ENCINO WOMEN'S CLUB,4924 N. PASO ROBLES AVE.,,,V,5,,,,0.26,,,561-D3,,,,,"4924 N Paso Robles Ave, Northridge, CA 91325, USA",34.2447192,-118.5031889
156,EVERETT PARK,,1010 N. EVERETT ST.                          ,,,M,1,,,0.53,,,,634-F1,,,,,"1010 N Everett St, Ridgecrest, CA 93555, USA",35.6394714,-117.7698485
157,EVERGREEN RECREATION CENTER ,,2839 E. 4TH ST.,,,M,14,,,6.66,,,,635-B5,,,,,"2839 E 4th St, Pueblo, CO 81001, USA",38.2725312,-104.5592022
158,EXPO CENTER,,3980 MENLO AVE.,,,P,9,,,6.65,,,,674-A2,,,,,"3980 Menlo Ave, San Diego, CA 92105, USA",32.7493838,-117.0944612
159,EXPOSITION PARK ROSE GARDEN,,701 W. STATE DR.,,,P,9,,,10.39,,,,674-B2,,,,,"701 W State St, Bristol, VA 24201, USA",36.595062,-82.1852671
160,EXPO-WESTWOOD NEIGHBORHOOD GREENWAY,,WESTWOOD BLVD & OVERLAND AVE.,,,M,5,,,0.8,,,,,,,,,"Westwood Dr & Overland St, Stafford, TX 77477, USA",29.6072606,-95.5357907
161,FAIRFAX SENIOR CITIZEN CENTER,,7929 W. MELROSE AVE.,,,M,5,,,0.38,,,,593-B6,,,,,"7929 W Melrose Ave, Findlay, OH 45840, USA",41.0658335,-83.7280006
162,FEHLHABER-HOUK  PARK,,9521 N. TUJUNGA CANYON BLVD.,,,V,7,,,1.16,,,,504-C6,,,,,"9521 N Tujunga Canyon Blvd, Tujunga, CA 91042, USA",34.2433702,-118.2744121
163,FERNANGELES RECREATION CENTER,,8851 N. LAUREL CANYON BLVD.,,,V,6,,,9.26,,,,532-F1,,,,,"8851 N Laurel Canyon Blvd, Sun Valley, CA 91352, USA",34.2304927,-118.4021797
164,FINN (HOWARD) PARK,,7747 W. FOOTHILL BLVD.                           ,,,V,7,,,3.66,,,,503-J3,,,,,"7747 W Foothill Blvd, Sunland-Tujunga, CA 91040, USA",34.2650564,-118.3330065
165,FOX AND LAUREL,,14353 W. FOX ST.,,,V,7,,,0.38,,,,502-A2,,,,,"W Fox St, Yorkville, IL 60560, USA",41.6371785,-88.4570854
166,FRANCIS AVENUE COMMUNITY GARDEN,,2909 W. FRANCIS AVENUE,,,M,1,,,0.15,,,,634-A3,,,,,"2909 W Francis Ave, Spokane, WA 99205, USA",47.7153994,-117.4546324
167,FREMONT HIGH SCHOOL POOL,,7630 S. TOWNE AVE.,,,P,9,,,0.64,,,,704-D1,,,,,"7630 Towne Ave, Los Angeles, CA 90061, USA",33.9164139,-118.2673931
168,FULTON AVENUE PARK,,FULTON AVE & VANOWEN ST.,,,V,2,,,0.39,,,,532-D5,,,,,"Vanowen St & Fulton Ave, Los Angeles, CA 91405, USA",34.1939428,-118.4225263
169,GAFFEY STREET FIELD OF DREAMS,,501 W. WESTMONT DR.,,,P,15,,,17.8,,,,824-A2,,,,,"W Westmont Dr, Anaheim, CA 92801, USA",33.8374791,-117.9372048
170,GAGE AND AVALON TRIANGLE POCKET PARK,,6301-6309 S. AVALON BLVD,,,P,9,,,0.34,,,,674-D6,,,,,"6309 Avalon Blvd, Los Angeles, CA 90003, USA",33.9819406,-118.2652164
171,GAGE AND WESTERN PARK,,1734 GAGE AVE.,,,,8,,,0.15, ,,,673-H6,,,,,"1734 Gage Ave, Los Angeles, CA 90001, USA",33.9820078,-118.2420175
172,GARCIA (MSGR. RAMON D.) RECREATION CENTER,,1016 S. FRESNO ST.,,,M,14,,,6.49,,,,635-B7,,,,,"1016 S Fresno St, Fort Smith, AR 72901, USA",35.3519517,-94.4249431
173,GARVANZA PARK,,6240 E. MERIDIAN ST.,,,M,14,,,5.59,,,,595-E1,,,,,"6240 N Meridian St, North Manchester, IN 46962, USA",41.0049526,-85.7947682
174,GATEWAY TRIANGLE,,LADERA DR. AT SUNSET BLVD.,,,P,5,,,0.04,,,,592-D7,,,,,"Sunset Blvd & Ladera Dr, Beverly Hills, CA 90210, USA",34.0798555,-118.422887
175,GENESEE AVENUE PARK,,2330 S. GENESEE AVE.,,,P,10,,,0.75,,,,633-A6,,,,,"2330 S Genesee Ave, Los Angeles, CA 90016, USA",34.0376637,-118.3683883
176,"GIBSON (JOHN S., JR.) PARK",,550 N. HARBOR BLVD. ,,,P,15,,,0.88,,,,824-C5,,,,,"550 N Harbor Blvd, Fullerton, CA 92832, USA",33.8748494,-117.9240658
177,"GILLIAM (JIM) CHILD CARE, RECREATION CENTER",,4000 S. LA BREA AVE.,,,P,10,,,17.63,,,,673-C2,,,,,"4000 S La Brea Ave, Los Angeles, CA 90008, USA",34.0130353,-118.3545967
178,GLASSELL PARK,,3650 N. VERDUGO RD.,,,M,1,,,12.69,,,,594-H2,,,,,"3650 N Verdugo Rd, Glendale, CA 91208, USA",34.2040309,-118.2259682
179,GLEN ALLA PARK,,4601 S. ALLA RD.,,,P,11,,,4.82,,,,672-C6,,,,,"4601 S Alla Rd, Los Angeles, CA 90066, USA",33.99377,-118.4392969
180,GLENHURST PARK,,2932 W. GLENHURST AVE.,,,M,13,,,0.29,,,,594-E3,,,,,"2932 Glenhurst Ave, St Louis Park, MN 55416, USA",44.9490398,-93.3301979
181,GONZALES (DAVID M.) RECREATION CENTER,,10943 N. HERRICK AVE.,,,V,7,,,6.8,,,,502-E3,,,,,"Herrick Ave, Spring Valley, NY 10977, USA",41.1143813,-74.0554009
182,GRANADA HILLS PARK,,16730 W. CHATSWORTH ST.,,,V,12,,,17.76,,,,501-D3,,,,,"16730 Chatsworth St, Granada Hills, CA 91344, USA",34.2636359,-118.4966524
183,GRANADA HILLS YOUTH RECREATION CENTER,,13100 N. BALBOA BLVD.,,,V,12,,,18.22,,,,481-D4,,,,,"13100 N Balboa Blvd, Granada Hills, CA 91344, USA",34.2575114,-118.5023067
184,GRAPE STREET POCKET PARK,,10726 S. GRAPE ST.,,,P,15,,,0.12,,,,704-H5,,,,,"10726 S Grape St, Centennial, CO 80122, USA",39.5780014,-104.9246974
185,GREAYER'S OAK PARK,,3711 N. FIGUEROA ST. ,,,M,1,,,0.6,,,,595-A5,,,,,"3711 N Figueroa St, Los Angeles, CA 90065, USA",34.0902771,-118.2122647
186,GREEN MEADOWS RECREATION CENTER,,431 E. 89TH ST.,,,P,9,,,7.64,,,,704-D3,,,,,"431 E 89th St, Chicago, IL 60619, USA",41.732605,-87.613134
187,GRIFFITH PARK,,4730 N. CRYSTAL SPRINGS DR.,,,L,4,,,4281.73,,,,563-H6,,,,,"4730 Crystal Springs Dr NE, Bainbridge Island, WA 98110, USA",47.6062057,-122.5753542
188,* Sub-Park (Griffith Park ),GRIFFITH PARK:                           CENTRAL SERVICE YARD,3900 E. CHEVY CHASE DRIVE,,,L,13,,,,28.36,,,564-C7,,,,,"3900 E Chevy Chase Dr, Glendale, CA 91206, USA",34.1795055,-118.1971429
189,* Sub-Park (Griffith Park ),GRIFFITH PARK:                                BETTE DAVIS PICNIC AREA,RANCHO AVE. & RIVERSIDE DR.,,,L,4,,,,17,,,563-J3,,,,,"Riverside Dr & Rancho Ave, Glendale, CA 91201, USA",34.1585833,-118.2978453
190,* Sub-Park (Griffith Park ),"GRIFFITH PARK.:                                
BOYS CAMP",4730 N. CRYSTAL SPRINGS DR.,,,L,4,,,,6,,,563-J6,,,,,"4730 Crystal Springs Dr NE, Bainbridge Island, WA 98110, USA",47.6062057,-122.5753542
191,* Sub-Park (Griffith Park ),GRIFFITH PARK.:                             BRONSON CYN.,3200 N. CANYON DR.,,,L,4,,,,74.41,,,593-G1,,,,,"3200 N Canyon Dr, Pine Ridge, FL 34465, USA",28.9501577,-82.5145373
192,* Sub-Park (Griffith Park ),GRIFFITH PARK.:                                    DOG PARK,5105 W. ZOO DRIVE,,,L,4,,,,1.23,,,564-B4,,,,,"5105 W Zoo Blvd, Wichita, KS 67212, USA",37.718108,-97.4042932
193,* Sub-Park (Griffith Park ),GRIFFITH PARK:  HARDING GOLF COURSE,4730 N. CRYSTAL SPRINGS DR.,,,L,4,,,,138.77,,,564-B5,,,,,"4730 Crystal Springs Dr NE, Bainbridge Island, WA 98110, USA",47.6062057,-122.5753542
194,* Sub-Park (Griffith Park ),"GRIFFITH PARK.:
HOLLYWOODLAND GIRLS CAMP",3200 N.  CANYON DR.,,,L,4,,,,10.23,,,563-H7,,,,,"3200 N Canyon Dr, Pine Ridge, FL 34465, USA",28.9501577,-82.5145373
195,* Sub-Park (Griffith Park ),GRIFFITH PARK.:                                            L. A. LIVE STEAMERS,5202 W. ZOO DR.,,,L,4,,,,3.8,,,563-J4,,,,,"5202 Zoo Dr, Los Angeles, CA 90027, USA",34.1549817,-118.3012306
196,* Sub-Park (Griffith Park ),GRIFFITH PARK:  TRAVEL TOWN TRANSPORTATION MUSEUM,5200 W. ZOO DR.,,,L,4,,,,10.38,,,563-J4,,,,,"5200 Zoo Dr, Los Angeles, CA 90027, USA",34.1539114,-118.3085946
197,* Sub-Park (Griffith Park ),"GRIFFITH PARK:
L. A. EQUESTRIAN CENTER",500 RIVERSIDE DR.,,,L,4,,,,67.29,,,563-H3,,,,,"500 Riverside Dr, Augusta, ME 04330, USA",44.3477323,-69.7488998
198,* Sub-Park (Griffith Park ),"GRIFFITH PARK.:
LAKE HOLLYWOOD PARK",3160 N. CANYON DR.,,,L,4,,,,2.42,,,563-H7,,,,,"3160 N Canyon Dr, Pine Ridge, FL 34465, USA",28.9501577,-82.5145373
199,* Sub-Park (Griffith Park ),GRIFFITH PARK:  LOS FELIZ GOLF COURSE,3207 W. LOS FELIZ BLVD.,,,L,13,,,,11.83,,,594-C1,,,,,"3207 S Los Feliz Dr, Tempe, AZ 85282, USA",33.394507,-111.90464
200,* Sub-Park (Griffith Park ),GRIFFITH PARK:  NORTH ATWATER PARK,3900 N. CHEVY CHASE DR.,,,L,13,,,,5.36,,,564-C6,,,,,"3900 Chevy Chase Dr, La Caí±ada Flintridge, CA 91011, USA",34.187607,-118.194077
202,* Sub-Park (Griffith Park ),GRIFFITH PARK:  ROOSEVELT GOLF COURSE,2650 N. VERMONT AVE.,,,L,4,,,,55.56,,,594-A1,,,,,"2650 N Vermont Ave, Los Angeles, CA 90027, USA",34.1183253,-118.293759
203,* Sub-Park (Griffith Park ),GRIFFITH PARK:  WILSON GOLF COURSE,4730 N. CRYSTAL SPRINGS DR.,,,L,4,,,,181.2,,,564-B6,,,,,"4730 Crystal Springs Dr NE, Bainbridge Island, WA 98110, USA",47.6062057,-122.5753542
204,GRIGSBY POCKET PARK,,1816 E. 115th STREET,,,P,15,,,0.28,,,,704-G6,,,,,"1816 E 115th St, Los Angeles, CA 90059, USA",33.930307,-118.2402293
205,HAINES CANYON PARK,,7021 W. ARAMA AVE.,,,V,7,,,52.38,,,,504-A6,,,,,"7021 Arama Ave, Tujunga, CA 91042, USA",34.2406893,-118.2843643
206,HANSEN DAM RECREATION AREA,,11770 W. FOOTHILL BLVD.,,,V,7,,,1449.54,,,,502-H2,,,,,"11770 E Foothill Blvd, Rancho Cucamonga, CA 91730, USA",34.1064769,-117.5476984
207,* Sub-Park (Hansen Dam Rec Area),HANSEN DAM GOLF COURSE,11770 W. FOOTHILL BLVD.,,,V,7,,,,193.97,,,502-H2,,,,,"11770 E Foothill Blvd, Rancho Cucamonga, CA 91730, USA",34.1064769,-117.5476984
208,* Sub-Park (Hansen Dam Rec Area),LAKE VIEW TERRACE RECREATION CENTER,11075 W. FOOTHILL BLVD.,,,V,7,,,,9.81,,,502-J1,,,,,"11075 E Foothill Blvd, Rancho Cucamonga, CA 91730, USA",34.1064148,-117.5633222
210,HARBOR CITY PARK,,24901 S. FRAMPTON AVE.,,,P,15,,,11.07,,,,794-A4,,,,,"24901 Frampton Ave, Harbor City, CA 90710, USA",33.7984584,-118.2992635
211,HARBOR HIGHLANDS PARK,,825 W. CAPITOL DR.,,,P,15,,,3.24,,,,824-A2,,,,,"825 W Capitol Dr, Milwaukee, WI 53206, USA",43.0892597,-87.9209086
212,HARBOR VIEW MEMORIAL PARK,,601 W. 24TH ST.,,,P,15,,,2.85,,,,824-B7,,,,,"601 W 24th St, Kearney, NE 68845, USA",40.6999715,-99.089885
213,HART (WILLIAM S.) PARK,,8341 DE LONGPRE AVE.,,,,NA,,,0.83,,,,593-A5,,,,,"8341 De Longpre Ave, West Hollywood, CA 90069, USA",34.0953102,-118.3717004
214,HARTLAND MINI-PARK,,6830 N. WOODMAN AVE.,,,V,2,,,0.07,,,,532-C5,,,,,"6830 Woodman Ave, Van Nuys, CA 91405, USA",34.194783,-118.430837
215,HAWKINS (AUGUSTUS F.)  NATURAL PARK,,5790 S. COMPTON AVE.,,,P,9,,,8.12,,,,674-F5,,,,,"5790 S Compton Ave, Mesa, AZ 85209, USA",33.3695298,-111.6328297
216,HAZARD PARK,,2230 E. NORFOLK ST.,,,M,14,,,24.99,,,,635-B3,,,,,"2230 E Norfolk St, Tampa, FL 33610, USA",28.0113333,-82.440144
217,HENRY (HAROLD A.) PARK,,890 S. LUCERNE AVE.,,,M,4,,,1.6,,,,633-F3,,,,,"890 S Lucerne Dr, Big Bear, CA 92314, USA",34.2418791,-116.8656917
218,HERITAGE SQUARE,,3800 N. HOMER ST.,,,M,1,,,4.16,,,,595-A6,,,,,"N Homer St, Lansing, MI 48912, USA",42.7422126,-84.5093662
219,HIGHLAND PARK RECREATION CENTER,,6150 E. PIEDMONT AVE.,,,M,1,,,5.41,,,,595-D2,,,,,"6150 E Piedmont Rd, Phoenix, AZ 85044, USA",33.3595309,-111.9764003
220,HIGHLAND PARK SENIOR CITIZEN CENTER,,6152 N. FIGUEROA ST.,,,M,14,,,3.81,,,,595-D2,,,,,"6152 N Figueroa St, Los Angeles, CA 90042, USA",34.114355,-118.184492
221,HIGH SIERRA (CAMP),,869 LAKE MARY RD. (MAMMOTH LAKES),,,,NA,,,41.5,,,,NA,,,,,"869 Lake Mary Rd, Mammoth Lakes, CA 93546, USA",37.638561,-118.990756
223,HOLLENBECK PARK,,415 S. ST. LOUIS ST.,,,M,14,,,18.3,,,,635-A5,,,,,"415 S St Louis St, Sparta, IL 62286, USA",38.1200305,-89.7035796
224,HOLLYWOOD RECREATION CENTER,,1122 N. COLE AVE.,,,M,13,,,3.12,,,,593-F5,,,,,"1122 N Cole Ave, Molalla, OR 97038, USA",45.1526648,-122.5670943
225,HOLMBY PARK,,601 S. CLUB VIEW DR.,,,P,5,,,8.52,,,,632-C1,,,,,"601 Club View Dr, Los Angeles, CA 90024, USA",34.0728614,-118.4294316
226,* Sub-Park (Holmby Park),HAMMER (ARMAND) GOLF COURSE,601 S. CLUB VIEW DR.,,,P,5,,,,3.46,,,632-C1,,,,,"601 Club View Dr, Los Angeles, CA 90024, USA",34.0728614,-118.4294316
228,HOOVER RECREATION CENTER (Expansion),,1010 W. 25TH ST.,,,M,1,,,2.95,,,,634-B6,,,,,"1010 W 25th St, Sanford, FL 32771, USA",28.7866649,-81.2779325
229,HOOVER-GAGE PARK,,817 W. GAGE AVE.,,,P,9,,,0.21,,,,674-B6,,,,,"817 W Gage Ave, Los Angeles, CA 90044, USA",33.9819276,-118.2874004
230,HOPE AND PEACE PARK,,843 S. BONNIE BRAE ST.,,,M,1,,,0.57,,,,634-C4,,,,,"843 S Bonnie Brae St, Los Angeles, CA 90057, USA",34.052876,-118.276612
231,"HOSTETTER PARK
",,3141 E. OLYMPIC BLVD.,,,M,14,,,3.46,,,,675-A1,,,,,"3141 E Olympic Blvd, Los Angeles, CA 90023, USA",34.0205794,-118.2106816
232,HOUSTON (NORMAN O.) PARK,,4800 S. LA BREA AVE.,,,P,8,,,9.5,,,,673-C4,,,,,"4800 S La Brea Ave, Los Angeles, CA 90008, USA",34.0023962,-118.3589439
233,HUMPHREY (HUBERT H.)   MEMORIAL PARK ,,12560 W. FILMORE ST.,,,V,7,,,9.99,,,,482-E7,,,,,"12560 Filmore St, Pacoima, CA 91331, USA",34.2813725,-118.406455
234,IMPERIAL COURTS RECREATION CENTER,,2250 E. 114TH ST.,,,P,15,,,2.36,,,,704-H7,,,,,"2250 E 114th St, Lubbock, TX 79404, USA",33.4906906,-101.8110198
235,JESSUP (ROGER W.) PARK ,,12467 W. OSBORNE ST.,,,V,7,,,14.41,,,,502-F4,,,,,"12467 Osborne St, Pacoima, CA 91331, USA",34.2594981,-118.4053868
236,JORDAN DOWNS RECREATION CENTER,,9900 S. GRAPE ST.,,,P,15,,,3.16,,,,704-H4,,,,,"9900 S Grape St, Centennial, CO 80122, USA",39.5780014,-104.9246974
237,JUNTOS PARK,,3135 N. DREW ST.,,,M,13,,,1.64,,,,594-F1,,,,,"3135 N Drew St, Appleton, WI 54911, USA",44.2900994,-88.400063
238,"KING (MARTIN LUTHER, JR.) PARK",,3934 S. WESTERN AVE.,,,P,8,,,8.33,,,,673-J2,,,,,"3934 S Western Ave, Los Angeles, CA 90062, USA",34.013503,-118.30797
239,KITTRIDGE MINI-PARK,,6565 N. GREENBUSH AVE.,,,V,2,,,0.09,,,,532-C6,,,,,"6565 Greenbush Ave, Van Nuys, CA 91401, USA",34.190179,-118.426119
240,KNAPP RANCH PARK,,25000 W. KITTRIDGE ST.,,,V,12,,,69.11,,,,529-C7,,,,,"25000 W Kittridge Ct, Brookfield, WI 53005, USA",43.0711685,-88.0758236
241,* Sub-Park (Knapp Ranch Park),"KNAPP RANCH PARK, WEST",WOODED VISTA & TWISTED OAK DR.,,,V,12,,,,12.49,,,529-C7,,,,,"Wooded Vista & Twisted Oak Dr, West Hills, CA 91307, USA",34.185454,-118.665262
242,L. A. (HIGH SCHOOL) MEMORIAL PARK,,4625 W. OLYMPIC BLVD.,,,M,4,,,2.51,,,,633-E3,,,,,"4625 W Olympic Blvd, Los Angeles, CA 90019, USA",34.0572941,-118.3314937
243,L. A. YOUTH ATHLETIC CLUB,,421 N. AVE. 19,,,M,1,,,4.64,,,,594-J7,,,,,"421 N 19th Ave, Phoenix, AZ 85009, USA",33.454105,-112.0997
244,LACY STREET NEIGHBORHOOD PARK,,LACY ST. AT W. AVE. 26,,,M,1,,,0.37,,,,594-J6,,,,,"Lacy St & W Ave 26, Los Angeles, CA 90031, USA",34.0801307,-118.2219019
245,LAFAYETTE PARK,,625 S. LAFAYETTE PARK PLACE,,,M,10,,,9.72,,,,634-B2,,,,,"625 S La Fayette Park Pl, Los Angeles, CA 90057, USA",34.062064,-118.2830924
246,LAKESIDE PARK (PHASE 1),,ENCINITAS AVE & BLEDSOE ST,,,V,7,,,70,,,,481-G5,,,,,"Bledsoe St & Encinitas Ave, Sylmar, CA 91342, USA",34.2989868,-118.4724643
247,LAKE STREET PARK,,227 N. LAKE ST.,,,M,13,,,1.52,,,,634-D1,,,,,"227 N Lake St, Mundelein, IL 60060, USA",42.2667245,-88.0039356
248,LA MIRADA PARK ACQUISITION SITE,,5401 W. LA MIRADA AVE.,,,M,13,,,0.17,,,,593-H5,,,,,"5401 La Mirada Ave, Los Angeles, CA 90029, USA",34.094204,-118.306997
249,LANARK PARK,,21816 W. LANARK ST.,,,V,3,,,19.2,,,,530-A3,,,,,"21816 Lanark St, Canoga Park, CA 91304, USA",34.2171454,-118.6040045
250,LANARK/SHELBY MINI-PARK,,21816 W. LANARK ST.,,,M,3,,,0.27,,,,565-D6,,,,,"21816 Lanark St, Canoga Park, CA 91304, USA",34.2171454,-118.6040045
251,LAPD SWAT OFFICER RANDAL D. SIMMONS PARK (formerly WEST VALLEY PARK),,6731 N. WILBUR AVE.,,,V,3,,,8.08,,,,530-H6,,,,,"6731 N Wilbur Ave, Portland, OR 97217, USA",45.5714917,-122.6935123
252,LARISSA PARKWAY,,3305 W. LARISSA DR.          ,,,M,13,,,0.22,,,,594-C6,,,,,"3305 Larissa Dr, Los Angeles, CA 90026, USA",34.0850489,-118.2754816
253,LAS PALMAS SENIOR CITIZEN CENTER,,1820 N. LAS PALMAS AVE.,,,M,4,,,1.14,,,,593-E4,,,,,"1820 N Las Palmas Ave, Los Angeles, CA 90028, USA",34.1049244,-118.3359265
254,LASORDA (TOMMY)  FIELD OF DREAMS,,1901 N. WATERLOO ST.,,,M,13,,,1.8,,,,594-E5,,,,,"1901 N Waterloo St, Jackson, MI 49202, USA",42.268722,-84.3956411
255,LA TIERRA DE LA CULEBRA,,236 S. AVE. 57,,,M,1,,,0.56,,,,595-C3,,,,,"236 S Ave 57, Los Angeles, CA 90042, USA",34.1073641,-118.1923141
256,LA TUNA CANYON PARK,,6801 W. LA TUNA CANYON RD.,,,V,7,,,73.6,,,,507-B7,,,,,"6801 La Tuna Canyon Rd, Tujunga, CA 91042, USA",34.234304,-118.2779528
257,LATHAM PARK,,5308 S. LATHAM ST.,,,P,9,,,0.19,,,,674-F5,,,,,"5308 W Latham St, Phoenix, AZ 85043, USA",33.4605049,-112.1730639
258,LAUREL AND HARDY PARK,,3022 W. DEL MONTE DR. ,,,M,13,,,0.32,,,,594-C7,,,,,"3022 W Del Monte Dr, Santa Clarita, CA 91355, USA",34.4094922,-118.5596443
259,LAUREL CANYON MULHOLLAND PARK,,8100 W. MULHOLLAND DR.,,,M,4,,,1.71,,,,592-J1,,,,,"8100 Mulholland Dr, Sherman Oaks, CA 91403, USA",34.1319694,-118.4498229
262,LAZY J RANCH PARK,,23751 W. INGOMAR ST.                                ,,,V,12,,,8.43,,,,529-E3,,,,,"23751 W Ingomar St, West Hills, CA 91304, USA",34.2116557,-118.6434477
263,LEIMERT PLAZA,,4395 S. LEIMERT BLVD.,,,W,10,,,1.02,,,,673-F3,,,,,"4395 Leimert Blvd, Los Angeles, CA 90008, USA",34.0042908,-118.3306732
264,LELAND PARK ,,863 S. HERBERT AVE.,,,P,15,,,15.76,,,,824-B4,,,,,"863 S Herbert Ave, Los Angeles, CA 90023, USA",34.024245,-118.1837549
265,LEMON GROVE RECREATION CENTER,,4959 W. LEMON GROVE AVE.,,,M,13,,,3.87,,,,593-J6,,,,,"4959 W Lemon Hill Rd NW, McConnelsville, OH 43756, USA",39.7152023,-81.9070339
266,LEXINGTON AVENUE POCKET PARK,,5523 W. LEXINGTON AVE.,,,M,13,,,0.17,,,,593-H5,,,,,"5523 W Lexington Ave, Winchester, KY 40391, USA",38.0244907,-84.2664531
267,LILAC TERRACE PARK,,1253 W. LILAC TER. ,,,M,1,,,2.83,,,,634-F1,,,,,"1253 Lilac Terrace, Los Angeles, CA 90026, USA",34.0731371,-118.2493239
268,LIMEKILN CANYON PARK,,19585 W. RINALDI ST.,,,V,12,,,92.57,,,,480-F7,,,,,"19585 Rinaldi St, Porter Ranch, CA 91326, USA",34.2748361,-118.5616144
269,LINCOLN HEIGHTS RECREATION CENTER,,2303 N. WORKMAN ST.,,,M,1,,,2.88,,,,635-A1,,,,,"N Workman St, San Fernando, CA 91340, USA",34.2934726,-118.4357083
270,LINCOLN HEIGHTS YOUTH CENTER,,2500 N. GRIFFIN AVE.,,,M,1,,,0.74,,,,595-A7,,,,,"2500 N Griffin Ave, Los Angeles, CA 90031, USA",34.0755276,-118.2117806
